ts,signal_id,token_symbol,chain,action,token_address,tokens_amount,usdc_amount,price_actual,slippage_pct,price_impact_pct,tx_hash,status,note
2026-06-16T11:53:31.601212,mirror_trelon_20260616_115251,trelon,solana,buy,Cy1mCA7qAe7AWABiPCBt7V11SfbjhHM7UBpd9TAXpump,1684619.199316,100.00,5.9360596e-05,8.00,0.05,DRY_RUN,dry_run,
2026-06-16T11:54:12.751664,mirror_Trilly_20260616_115335,Trilly,solana,buy,6Fnnq2bRqzRkodesB4edt8EY3Vmx3rDay4PA5Caspump,1402679.562550,100.00,7.129212e-05,8.00,0.00,DRY_RUN,dry_run,
2026-06-16T11:54:13.085479,mirror_CLAW_20260616_115351,CLAW,,buy_skipped,2bLdDpT9LfghnNenBPLMA2BvoToaCvbVyFQhLV9Kpump,,,,,,,skipped,rugcheck_failed
2026-06-16T11:54:13.085690,mirror_CLAW_20260616_115351,CLAW,,entry,2bLdDpT9LfghnNenBPLMA2BvoToaCvbVyFQhLV9Kpump,,,,,,,skipped,processed_no_buy
2026-06-16T11:55:03.629383,mirror_Trilly_20260616_115335,Trilly,solana,hard_sl,6Fnnq2bRqzRkodesB4edt8EY3Vmx3rDay4PA5Caspump,1402679.562550,96.39,6.8720333e-05,8.00,0.03,DRY_RUN,dry_run,pnl=-3.61USDC
2026-06-16T11:59:35.143766,mirror_BULLANA_20260616_115207,BULLANA,solana,tp1,55uo2vyy1vwi5B2213WCW2h3bEb7vntscyJQwT2Wpump,1796540.224799,117.92,6.5639899e-05,8.00,0.06,DRY_RUN,dry_run,pnl=+17.92USDC
2026-06-16T12:04:06.271933,mirror_petin_20260616_115202,petin,solana,trailing_sl,6TotVaoKJYtAFnJikVofZkg1PxLNTvoq8XvTSKcZpump,1350184.165101,91.22,6.7563628e-05,8.00,0.13,DRY_RUN,dry_run,pnl=-8.78USDC
2026-06-16T12:27:20.398921,mirror_FRAG_20260616_115243,FRAG,solana,hard_sl,J4Y92jy5Lr9ho1aV41bhguytnzBbsPhZJahmaVszpump,84712.905161,60.67,0.00071613686,8.00,43.34,DRY_RUN,dry_run,pnl=-39.33USDC
2026-06-16T12:37:34.636507,mirror_GLOOP_20260616_115209,GLOOP,solana,exit_time_limit,56spWoDxKFs6BTm6LzMQfgQ2wDxKSQT6SGKazxHSpump,192420.170187,96.11,0.0004994769,8.00,0.02,DRY_RUN,dry_run,pnl=-3.89USDC
2026-06-16T12:37:35.270447,mirror_Merlin_20260616_115212,Merlin,solana,exit_time_limit,AvxFBjWydMYWD7C8pHzSkGxNYAFWr7aNBbAKm84bpump,79136.897254,98.82,0.0012487078,8.00,0.01,DRY_RUN,dry_run,pnl=-1.18USDC
2026-06-16T12:37:37.815378,mirror_OILMAXXING_20260616_115212,OILMAXXING,solana,exit_time_limit,FFRQbb9KaXomHrBKrtJ7UxrqSTxDGk8WLjacqnLLpump,946293.450058,101.74,0.00010751099,8.00,0.03,DRY_RUN,dry_run,pnl=+1.74USDC
2026-06-16T12:37:38.250565,mirror_GutGenug_20260616_115218,GutGenug,solana,exit_time_limit,w9Fh8VWmytLKo48AbnDf3vVdzN5SzpG6gFwmxeLpump,566955.757723,101.91,0.00017974462,8.00,0.02,DRY_RUN,dry_run,pnl=+1.91USDC
2026-06-16T12:38:18.780015,mirror_trelon_20260616_115251,trelon,solana,exit_time_limit,Cy1mCA7qAe7AWABiPCBt7V11SfbjhHM7UBpd9TAXpump,1684619.199316,88.00,5.2238617e-05,8.00,0.03,DRY_RUN,dry_run,pnl=-12.00USDC
2026-06-16T13:54:31.855827,PG_CUTIEPATOOTIE_20260616_135356,CUTIEPATOOTIE,solana,buy,CBqqcG2sTJa1savH6PFSoV8MTvDH3qBf1BvV6GG2pump,57154660.676599,100.00,1.7496386e-06,10.00,0.00,DRY_RUN,dry_run,
2026-06-16T13:55:12.488208,PG_CUTIEPATOOTIE_20260616_135356,CUTIEPATOOTIE,solana,liq_collapse,CBqqcG2sTJa1savH6PFSoV8MTvDH3qBf1BvV6GG2pump,57154660.676599,28.62,5.0082346e-07,10.00,0.12,DRY_RUN,dry_run,pnl=-71.38USDC
2026-06-16T14:51:23.124510,Merlin_20260616_145112,Merlin,solana,buy,AvxFBjWydMYWD7C8pHzSkGxNYAFWr7aNBbAKm84bpump,66818.532965,100.00,0.0014965908,2.00,4.45,DRY_RUN,dry_run,
2026-06-16T15:10:07.877660,Merlin_20260616_145112,Merlin,solana,hard_sl,AvxFBjWydMYWD7C8pHzSkGxNYAFWr7aNBbAKm84bpump,66818.532965,83.78,0.0012539136,2.00,4.07,DRY_RUN,dry_run,pnl=-16.22USDC
